GENDER,MARSTAT,PC,MOVE,HEALTH,NEWSPAP,CLUB,POLITICS,JOBLEVEL,EDUCAT,OWNHOUSE,URBAN,AGE3,AGE13,REGION,PHONE,HOUSEVAL,PNONNAT1,PNONNAT2,SOCALL,DISABALL,UNEMPALL,ALLOWAN,HASJOB,NONNATIV,EMPLOYED,RELIGION,MARRIED,CHILDREN,HHSIZE,HHTYPE,KEYNUM,ETHNIC,RESP1,RESULT,RESPONSE,PROB,POPWGT
1,1,2,2,2,2,2,3,2,35,2,4,1,7,22,1,5,3,2,0,0,0,0,1,0,1,1,0,0,2,2,1,0,1,1,1,0.62405,361.80
1,1,1,1,2,1,2,1,20,40,1,1,1,6,25,1,7,4,2,0,0,0,0,0,0,3,1,0,1,4,3,2,0,1,1,1,0.41347,379.26
1,2,1,1,2,1,2,2,4,45,1,4,2,12,23,1,7,1,1,0,0,0,0,1,0,1,2,1,1,5,3,3,0,1,1,1,0.66131,374.49
1,2,1,1,1,1,2,1,6,45,1,4,3,13,24,1,5,1,1,0,0,0,0,1,0,1,2,1,1,4,3,4,0,1,1,1,0.69229,372.79
1,2,1,1,2,2,2,2,2,40,1,5,1,8,21,1,2,1,1,0,0,0,0,1,0,1,1,1,1,4,3,5,0,1,1,1,0.73941,342.88
2,4,2,3,2,1,2,2,4,45,2,4,2,11,23,1,7,5,5,0,0,0,0,1,0,1,1,0,1,4,4,6,0,1,1,1,0.62541,344.66
2,3,1,2,1,1,1,2,20,45,1,5,3,16,23,1,9,2,1,0,0,0,0,0,0,2,1,0,0,2,2,7,0,1,1,1,0.58434,373.65
1,1,1,1,1,1,1,2,6,50,1,5,2,10,21,1,4,1,1,0,0,0,0,1,0,1,3,0,0,1,1,11,0,0,1,1,0.65106,412.68
2,4,,,,,,,,,,2,2,12,23,1,5,4,3,0,0,0,0,1,0,3,,0,1,3,4,12,0,0,3,0,0.54249,376.27
1,1,2,2,2,2,1,1,20,45,2,1,3,14,21,0,2,2,1,0,0,0,0,0,0,3,5,0,0,1,1,13,0,1,1,1,0.45130,373.66
1,2,1,2,2,2,2,4,4,45,2,3,1,7,23,1,6,4,3,0,0,0,0,1,0,1,1,1,0,2,2,14,0,1,1,1,0.63196,373.19
2,2,1,1,3,1,2,2,20,50,2,1,3,14,25,1,6,4,4,0,0,0,0,0,0,3,5,1,0,2,2,16,0,0,1,1,0.50034,356.79
1,2,2,4,3,1,2,2,20,40,2,1,3,16,25,1,5,2,1,0,0,0,0,0,0,3,1,1,0,2,2,17,0,1,1,1,0.48378,408.55
