Cityid,City,January,July
Mo,Mobile,51.2,81.6
Ph,Phoenix,51.2,91.2
Li,Little Rock,39.5,81.4
Sa,Sacramento,45.1,75.2
De,Denver,29.9,73
Ha,Hartford,24.8,72.7
Wi,Wilmington,32,75.8
Wa,Washington DC,35.6,78.7
Ja,Jacksonville,54.6,81
Mi,Miami,67.2,82.3
At,Atlanta,42.4,78
Bo,Boise,29,74.5
Ch,Chicago,22.9,71.9
Pe,Peoria,23.8,75.1
In,Indianapolis,27.9,75
De,Des Moines,19.4,75.1
Wi,Wichita,31.3,80.7
Lo,Louisville,33.3,76.9
Ne,New Orleans,52.9,81.9
Po,"Portland, ME",21.5,68
Ba,Baltimore,33.4,76.6
Bo,Boston,29.2,73.3
De,Detroit,25.5,73.3
Sa,Sault Ste Marie,14.2,63.8
Du,Duluth,8.5,65.6
Mi,Minneapolis,12.2,71.9
Ja,Jackson,47.1,81.7
Ka,Kansas City,27.8,78.8
St,St Louis,31.3,78.6
Gr,Great Falls,20.5,69.3
Om,Omaha,22.6,77.2
Re,Reno,31.9,69.3
Co,Concord,20.6,69.7
At,Atlantic City,32.7,75.1
Al,Albuquerque,35.2,78.7
Al,Albany,21.5,72
Bu,Buffalo,23.7,70.1
Ne,New York,32.2,76.6
Ch,Charlotte,42.1,78.5
Ra,Raleigh,40.5,77.5
Bi,Bismarck,8.2,70.8
Ci,Cincinnati,31.1,75.6
Cl,Cleveland,26.9,71.4
Co,Columbus,28.4,73.6
Ok,Oklahoma City,36.8,81.5
Po,"Portland, OR",38.1,67.1
Ph,Philadelphia,32.3,76.8
Pi,Pittsburgh,28.1,71.9
Pr,Providence,28.4,72.1
Co,Columbia,45.4,81.2
Si,Sioux Falls,14.2,73.3
Me,Memphis,40.5,79.6
Na,Nashville,38.3,79.6
Da,Dallas,44.8,84.8
El,El Paso,43.6,82.3
Ho,Houston,52.1,83.3
Sa,Salt Lake City,28,76.7
Bu,Burlington,16.8,69.8
No,Norfolk,40.5,78.3
Ri,Richmond,37.5,77.9
Sp,Spokane,25.4,69.7
Ch,"Charleston, WV",34.5,75
Mi,Milwaukee,19.4,69.9
Ch,Cheyenne,26.6,69.1
